customercode,routecode,routename,supervisorname,customername,regionmstname,Sales Apr2026,Sales Mar2026,Sales Feb2026,Sales Jan2026,Sales Dec,Sales Nov,Sales Oct,Sales Sep,Sales Aug,Sales Jul,Sales Jun,Sales May,Sales Apr,Sales Mar,Sales Feb,Sales jan,Last Transaction MonthYear,Months Bucket,Customer Status,Remarks,Updated By,Updated Date
520070042,52007,AUH BQ 1,Aaqib Zaheer,PAPPU PAYA RESTAURANTT - L.L.C,ABUDHABI,0,0.0,1897.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,2106.75,0,Feb 2026,1–3 Months,,,,
520070052,52009,AUH BQ 7,Aaqib Zaheer,Sunset Life Restaurant and Cafe -Sole Proprier,ABUDHABI,0,0.0,927.0,207.0,0.0,0.0,2.4,28.75,0.0,0.0,0,207,800,2222.45,2756.6,0,Feb 2026,1–3 Months,,,,
520070059,52007,AUH BQ 1,Aaqib Zaheer,Labanese Roaster-Sole Proprietor Ship LLC,ABUDHABI,0,236.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,Mar 2026,1 Month,,,,
520070069,52009,AUH BQ 7,Aaqib Zaheer,GRANDIOSE SUPERMARKET - SOLE PROPRIETORSHIP L.L.C.,ABUDHABI,0,0.0,3125.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,565,0,2103.9,4562.66,0,Feb 2026,1–3 Months,,,,
520070073,52009,AUH BQ 7,Aaqib Zaheer,GRANDIOSE SUPERMARKET - SOLE PROPRIETORSHIP L.L.C.,ABUDHABI,0,0.0,0.0,0.0,0.0,0.0,0.0,0.86,0.0,0.0,0,0,0,0.0,0.0,0,Sep 2025,7–12 Months,,,,
520070074,52009,AUH BQ 7,Aaqib Zaheer,GRANDIOSE SUPERMARKET - SOLE PROPRIETORSHIP L.L.C.,ABUDHABI,0,0.0,0.0,3378.56,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,41.26,0,Jan 2026,1–3 Months,,,,
520070081,52007,AUH BQ 1,Aaqib Zaheer,GMG CONSUMER LLC,ABUDHABI,0,0.0,316.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,Feb 2026,1–3 Months,,,,
520070082,52007,AUH BQ 1,Aaqib Zaheer,MAIR GROUP - P.J.S.C,ABUDHABI,0,0.0,0.0,4375.740000000001,0.0,0.0,0.0,0.0,2748.81,0.0,0,0,0,0.0,8379.7,0,Jan 2026,1–3 Months,,,,
520090019,52009,AUH BQ 7,Aaqib Zaheer,Beauty Night General Trading l.l.c,ABUDHABI,0,0.0,0.0,32.620000000000005,341.66,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,Jan 2026,1–3 Months,,,,
520090022,52009,AUH BQ 7,Aaqib Zaheer,Millennum Supermarket l.l.c,ABUDHABI,0,0.0,0.0,281.2,387.6,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,Jan 2026,1–3 Months,,,,
